"ISO","Language","Family","Area","H","H_unigram","L2prop","MC","NumChap","Population","Rangesize","vehicularity","ethnologue_L2_users","used_as_L2_by","notes"
"aai","Arifama-Miniafia","Austronesian","",1.59113037586212,9.26641273498535,0,NA,NA,3470,194.0079588,0,FALSE,NA,""
"aak","Ankave","Trans-New-Guinea","",1.35619699954987,9.99088191986084,0,NA,NA,1600,249.0692967,0,FALSE,NA,""
"aar","Afar","Afro-Asiatic","Greater-Abyssinia",NA,NA,0.011452682316303,0.280000001192093,5,1078200,133875.7943,1,TRUE,NA,""
"aau","Abau","Sepik","N-Coast-New-Guinea",1.37911403179169,8.36771488189697,0,NA,NA,7270,1603.672376,0,FALSE,NA,""
"abb","Bankon","Niger-Congo","African-Savannah",NA,NA,0,1,1,12000,419.5077176,0,FALSE,NA,""
"abk","Abkhaz","North-Caucasian","Greater-Mesopotamia",NA,NA,NA,0.703826546669006,28,105000,4491.320119,1,FALSE,NA,"94% speak it as L1"
"abq","Abaza","North-Caucasian","Greater-Mesopotamia",NA,NA,0,1,1,38200,1274.019718,0,FALSE,NA,""
"abt","Ambulas","Sepik","N-Coast-New-Guinea",1.19962453842163,8.51526260375977,0,0.333333343267441,6,44000,1140.817591,0,FALSE,NA,""
"abx","Inabaknon","Austronesian","",1.44497096538544,8.2331075668335,0,NA,NA,21400,35.88376985,0,FALSE,NA,""
"aby","Aneme Wake","Trans-New-Guinea","",1.31323885917664,9.14497470855713,0,NA,NA,650,1384.586454,0,FALSE,NA,""
"abz","Abui","Trans-New-Guinea","N-Coast-New-Guinea",NA,NA,0,0.428571432828903,7,16000,627.2404408,0,FALSE,NA,""
"aca","Achagua","Maipurean","NE-South-America",NA,NA,0,0.833333313465118,6,250,3413.506077,0,FALSE,NA,""
"acd","Gikyode","Niger-Congo","",1.39815413951874,7.68452882766724,0,NA,NA,10400,834.4771252,0,FALSE,"cll",""
"ace","Aceh","Austronesian","Southeast-Asia",1.38415277004242,8.5438289642334,0,0.172619044780731,14,3500000,17655.56398,0,FALSE,NA,""
"acf","Saint Lucian Creole French","Creole","Mesoamerica",1.60466229915619,7.97171926498413,0,NA,NA,206700,1532.106901,0,FALSE,NA,""
"ach","Acholi","Nilo-Saharan","S-Africa",NA,NA,0,0.777777791023255,9,1215000,32855.77293,0,FALSE,"lth",""
"acm","Mesopotamian Spoken Arabic","Afro-Asiatic","Greater-Mesopotamia",NA,NA,NA,0.800000011920929,10,14600000,144255.8299,1,FALSE,NA,""
"acn","Achang","Sino-Tibetan","Southeast-Asia",1.31736660003662,8.01333999633789,0,NA,NA,62700,1401.627151,0,FALSE,NA,""
"acr","Rabinal Achí","Mayan","",1.44432544708252,8.37662124633789,0,NA,NA,37300,1711.403724,0,FALSE,NA,""
"acu","Achuar-Shiwiar","Jivaroan","NE-South-America",1.34991562366486,10.3076734542847,0,1,6,5000,21385.73517,0,FALSE,NA,""
"acv","Achumawi","Palaihnihan","Basin-and-Plains",NA,NA,0,0.800000011920929,5,16,632.031255,0,FALSE,NA,"All are semi-speakers or passive speakers. Older adults only."
"ade","Adele","Niger-Congo","",1.45429491996765,8.05972003936768,0,NA,NA,27300,1382.433016,0,FALSE,"ntr",""
"adh","Adhola","Nilo-Saharan","",1.62592566013336,9.13712215423584,0,NA,NA,360000,895.4194454,0,FALSE,NA,""
"adi","Adi","Sino-Tibetan","Indic",NA,NA,0,0.916666686534882,4,239090,34691.77181,0,FALSE,"tsj",""
"adj","Adioukrou","Niger-Congo","African-Savannah",1.63153374195099,8.25044059753418,0,0.5,8,100000,1440.333424,0,FALSE,"abi:ahm:ahi",""
"adn","Adang","Trans-New-Guinea","Oceania",NA,NA,0,0.142857149243355,7,31800,71.17990961,0,FALSE,NA,""
