ISO,Language,Family,Area,H,H_unigram,L2prop,MC,NumChap,Population,Rangesize,vehicularity,ethnologue_L2_users,used_as_L2_by,notes,NOTA BENE! Remember to use Ethnologue version 20 (the 2017 version)!,,,
aai,Arifama-Miniafia,Austronesian,,1.591130376,9.266412735,0,,,3470,194.0079588,0,FALSE,no information,,,,,
aak,Ankave,Trans-New-Guinea,,1.356197,9.99088192,0,,,1600,249.0692967,0,FALSE,no information,,Instructions:,Data table,Description,Source
aar,Afar,Afro-Asiatic,Greater-Abyssinia,,,0.01145268232,0.2800000012,5,1078200,133875.7943,1,TRUE,no information,,,1st column,ISO 639-3 code,"Mayer T, Cysouw M. 2014 Creating a Massively Parallel Bible Corpus. "
aau,Abau,Sepik,N-Coast-New-Guinea,1.379114032,8.367714882,0,,,7270,1603.672376,0,FALSE,no information,,"We need to look at all these languages in Ethnologue (version 20, the version used by Koplenig),",2nd column,Language name,"Mayer T, Cysouw M. 2014 Creating a Massively Parallel Bible Corpus. "
abb,Bankon,Niger-Congo,African-Savannah,,,0,1,1,12000,419.5077176,0,FALSE,no information,,"looking at the ""Population"" field for each language.",3rd coulum,Language family,"Mayer T, Cysouw M. 2014 Creating a Massively Parallel Bible Corpus. "
abk,Abkhaz,North-Caucasian,Greater-Mesopotamia,,,,0.7038265467,28,105000,4491.320119,1,FALSE,no information,94% speak it as L1,,4th column,Language area,Nichols J et al. The AUTOTYP genealogy and geography database: 2013 release
abq,Abaza,North-Caucasian,Greater-Mesopotamia,,,0,1,1,38200,1274.019718,0,FALSE,no information,,,5th column,Entropy rates,Koplenig A et al. 2017 The statistical trade-off between word order and word structure
abt,Ambulas,Sepik,N-Coast-New-Guinea,1.199624538,8.515262604,0,0.3333333433,6,44000,1140.817591,0,FALSE,no information,,"If Ethnologue gives an estimate of the number of L2 speakers, we put TRUE in the column to the left.",6th column,Unigram entropy,Bentz C et al. 2017 The Entropy of Words
abx,Inabaknon,Austronesian,,1.444970965,8.233107567,0,,,21400,35.88376985,0,FALSE,no information,,,7th column,Proportion of L2 speakers,"Simons GF, Fennig CD. 2017 Ethnologue Global Dataset"
aby,Aneme Wake,Trans-New-Guinea,,1.313238859,9.144974709,0,,,650,1384.586454,0,FALSE,no information,,"If Ethnologue gives no such estimate, then we put FALSE.",8th column,Morphological complexity,Bentz  et al. 2016 A comparison between morphological complexity measures
abz,Abui,Trans-New-Guinea,N-Coast-New-Guinea,,,0,0.4285714328,7,16000,627.2404408,0,FALSE,no information,,,9th column,Number of included WALS features/chapters ,Bentz  et al. 2016 A comparison between morphological complexity measures
aca,Achagua,Maipurean,NE-South-America,,,0,0.8333333135,6,250,3413.506077,0,FALSE,no information,,"Sarah does ISO codes beginning with b-i, Henri does j-q, George does r-z. (For the time being, anyway.)",10th column,Speaker population size,Amano T et al. 2014 Global distribution and drivers of language extinction risk.
acd,Gikyode,Niger-Congo,,1.39815414,7.684528828,0,,,10400,834.4771252,0,FALSE,Used as L2 by Chala [cll].,,,11th column,Range size in km2,Amano T et al. 2014 Global distribution and drivers of language extinction risk.
ace,Aceh,Austronesian,Southeast-Asia,1.38415277,8.543828964,0,0.1726190448,14,3500000,17655.56398,0,FALSE,no information,,,12th column,Vehicularity,"Simons GF, Fennig CD. 2017 Ethnologue Global Dataset"
acf,Saint Lucian Creole French,Creole,Mesoamerica,1.604662299,7.971719265,0,,,206700,1532.106901,0,FALSE,no information,,"If language is used as an L2 (""Language Use"" field), put a note about this in the ""used_as_L2"" column.",,,
ach,Acholi,Nilo-Saharan,S-Africa,,,0,0.777777791,9,1215000,32855.77293,0,FALSE,Used as L2 by Thur [lth].,,"If there is no information about L2 in the ""Language Use"" field, put ""no information"" so that we know",,,
acm,Mesopotamian Spoken Arabic,Afro-Asiatic,Greater-Mesopotamia,,,,0.8000000119,10,14600000,144255.8299,1,FALSE,no information,,,,,
acn,Achang,Sino-Tibetan,Southeast-Asia,1.3173666,8.013339996,0,,,62700,1401.627151,0,FALSE,no information,,that the language has been checked.,,,
acr,Rabinal Achí,Mayan,,1.444325447,8.376621246,0,,,37300,1711.403724,0,FALSE,no information,,,,,
acu,Achuar-Shiwiar,Jivaroan,NE-South-America,1.349915624,10.30767345,0,1,6,5000,21385.73517,0,FALSE,no information,,"Any other interesting notes (such as about semispeakers or number of L1 speakers), put in the ""notes"" column.",,,
acv,Achumawi,Palaihnihan,Basin-and-Plains,,,0,0.8000000119,5,16,632.031255,0,FALSE,no information,All are semi-speakers or passive speakers. Older adults only.,,,,
ade,Adele,Niger-Congo,,1.45429492,8.059720039,0,,,27300,1382.433016,0,FALSE,Used as L2 by Delo [ntr].,,,,,
adh,Adhola,Nilo-Saharan,,1.62592566,9.137122154,0,,,360000,895.4194454,0,FALSE,no information,,,,,
adi,Adi,Sino-Tibetan,Indic,,,0,0.9166666865,4,239090,34691.77181,0,FALSE,Used as L2 by Tshangla [tsj].,,,,,
adj,Adioukrou,Niger-Congo,African-Savannah,1.631533742,8.250440598,0,0.5,8,100000,1440.333424,0,FALSE,"Used as L2 by Abidji [abi], Mobumrin Aizi [ahm], Tiagbamrin Aizi [ahi].",,,,,
adn,Adang,Trans-New-Guinea,Oceania,,,0,0.1428571492,7,31800,71.17990961,0,FALSE,no information,,,,,
adt,Adynyamathanha,Australian,S-Australia,,,0,0.6000000238,5,130,12961.52898,0,FALSE,no information,,,,,
adx,Amdo Tibetan,Sino-Tibetan,Inner-Asia,,,0,1,1,810000,283909.6202,0,FALSE,"Used as L2 by Baima [bqh], Bonan [peh], Salar [slr].",,,,,
ady,Adyghe,North-Caucasian,Greater-Mesopotamia,,11.95824814,,0.9047619104,2,475300,10284.60435,1,FALSE,no information,,,,,
adz,Adzera,Austronesian,,,,0,0.6666666865,2,28900,1708.479457,0,FALSE,"Used as L2 by Sarasira [zsa], Sukurum [zsu], Wampur [waz].",,,,,
aeb,Tunisian Spoken Arabic,Afro-Asiatic,N-Africa,,,,0.5,3,9000000,152938.6143,1,FALSE,no information,,,,,
aer,Eastern Arrernte,Australian,S-Australia,,,0,0.6329365373,12,3820,32665.9081,0,FALSE,no information,,,,,
aey,Amele,Trans-New-Guinea,N-Coast-New-Guinea,1.492565751,9.399849892,0,0.4560405612,27,5300,130.3710959,0,FALSE,no information,,,,,
afb,Gulf Spoken Arabic,Afro-Asiatic,Greater-Mesopotamia,,,,0.4799999893,10,2339000,540557.9099,1,FALSE,no information,,,,,
