"ISO","Language","Family","Area","H","H_unigram","L2prop","MC","NumChap","Population","Rangesize","vehicularity"
"aai","Arifama-Miniafia","Austronesian",,1.59113037586212,9.26641273498535,0,,,3470,194.0079588,0
"aak","Ankave","Trans-New-Guinea",,1.35619699954987,9.99088191986084,0,,,1600,249.0692967,0
"aar","Afar","Afro-Asiatic","Greater-Abyssinia",,,0.011452682316303,0.280000001192093,5,1078200,133875.7943,1
"aau","Abau","Sepik","N-Coast-New-Guinea",1.37911403179169,8.36771488189697,0,,,7270,1603.672376,0
"abb","Bankon","Niger-Congo","African-Savannah",,,0,1,1,12000,419.5077176,0
"abk","Abkhaz","North-Caucasian","Greater-Mesopotamia",,,,0.703826546669006,28,105000,4491.320119,1
"abq","Abaza","North-Caucasian","Greater-Mesopotamia",,,0,1,1,38200,1274.019718,0
"abt","Ambulas","Sepik","N-Coast-New-Guinea",1.19962453842163,8.51526260375977,0,0.333333343267441,6,44000,1140.817591,0
"abx","Inabaknon","Austronesian",,1.44497096538544,8.2331075668335,0,,,21400,35.88376985,0
"aby","Aneme Wake","Trans-New-Guinea",,1.31323885917664,9.14497470855713,0,,,650,1384.586454,0
"abz","Abui","Trans-New-Guinea","N-Coast-New-Guinea",,,0,0.428571432828903,7,16000,627.2404408,0
"aca","Achagua","Maipurean","NE-South-America",,,0,0.833333313465118,6,250,3413.506077,0
"acd","Gikyode","Niger-Congo",,1.39815413951874,7.68452882766724,0,,,10400,834.4771252,0
"ace","Aceh","Austronesian","Southeast-Asia",1.38415277004242,8.5438289642334,0,0.172619044780731,14,3500000,17655.56398,0
"acf","Saint Lucian Creole French","Creole","Mesoamerica",1.60466229915619,7.97171926498413,0,,,206700,1532.106901,0
"ach","Acholi","Nilo-Saharan","S-Africa",,,0,0.777777791023255,9,1215000,32855.77293,0
"acm","Mesopotamian Spoken Arabic","Afro-Asiatic","Greater-Mesopotamia",,,,0.800000011920929,10,14600000,144255.8299,1
"acn","Achang","Sino-Tibetan","Southeast-Asia",1.31736660003662,8.01333999633789,0,,,62700,1401.627151,0
"acr","Rabinal Achí","Mayan",,1.44432544708252,8.37662124633789,0,,,37300,1711.403724,0
"acu","Achuar-Shiwiar","Jivaroan","NE-South-America",1.34991562366486,10.3076734542847,0,1,6,5000,21385.73517,0
"acv","Achumawi","Palaihnihan","Basin-and-Plains",,,0,0.800000011920929,5,16,632.031255,0
"ade","Adele","Niger-Congo",,1.45429491996765,8.05972003936768,0,,,27300,1382.433016,0
"adh","Adhola","Nilo-Saharan",,1.62592566013336,9.13712215423584,0,,,360000,895.4194454,0
"adi","Adi","Sino-Tibetan","Indic",,,0,0.916666686534882,4,239090,34691.77181,0
"adj","Adioukrou","Niger-Congo","African-Savannah",1.63153374195099,8.25044059753418,0,0.5,8,100000,1440.333424,0
"adn","Adang","Trans-New-Guinea","Oceania",,,0,0.142857149243355,7,31800,71.17990961,0
"adt","Adynyamathanha","Australian","S-Australia",,,0,0.600000023841858,5,130,12961.52898,0
"adx","Amdo Tibetan","Sino-Tibetan","Inner-Asia",,,0,1,1,810000,283909.6202,0
"ady","Adyghe","North-Caucasian","Greater-Mesopotamia",,11.9582481384277,,0.904761910438538,2,475300,10284.60435,1
"adz","Adzera","Austronesian",,,,0,0.666666686534882,2,28900,1708.479457,0
"aeb","Tunisian Spoken Arabic","Afro-Asiatic","N-Africa",,,,0.5,3,9000000,152938.6143,1
"aer","Eastern Arrernte","Australian","S-Australia",,,0,0.632936537265778,12,3820,32665.9081,0
"aey","Amele","Trans-New-Guinea","N-Coast-New-Guinea",1.49256575107574,9.3998498916626,0,0.456040561199188,27,5300,130.3710959,0
"afb","Gulf Spoken Arabic","Afro-Asiatic","Greater-Mesopotamia",,,,0.479999989271164,10,2339000,540557.9099,1
"afn","Defaka","Niger-Congo","African-Savannah",,,0,0.600000023841858,1,200,67.82623275,0
"afr","Afrikaans","Indo-European","S-Africa",1.61481642723084,8.15722751617432,0.587953567504883,0.125,4,4849900,804038.8526,1
"agb","Legbo","Niger-Congo","African-Savannah",,,0,0.5,2,60000,136.128487,0
"agd","Agarabi","Trans-New-Guinea","N-Coast-New-Guinea",1.32566678524017,9.20562934875488,0,0.916666686534882,6,27000,524.693178,0
"agg","Angor","Senagi","N-Coast-New-Guinea",1.30191075801849,9.65258407592773,0,0.5,8,1270,179.1484215,0
"agh","Ngelima","Niger-Congo","S-Africa",,,0,0.5,2,13600,19225.47019,0
"agm","Angaatiha","Trans-New-Guinea","Interior-New-Guinea",1.28803503513336,10.8731889724731,0,,,2100,518.4714503,0
"agn","Agutaynen","Austronesian",,1.35859525203705,8.01017093658447,0,,,15000,213.3679295,0
"agq","Aghem","Niger-Congo","African-Savannah",,,0,0,2,26700,183.2016821,0
"agr","Aguaruna","Jivaroan","Andean",1.6092768907547,11.1131162643433,0,0,1,38300,33309.87173,0
"agt","Central Cagayan Agta","Austronesian","Oceania",1.40198314189911,7.60756540298462,0,0.625,8,780,244.088012,0
"agu","Aguacateco","Mayan","Mesoamerica",1.44697284698486,8.53820610046387,0,,,18000,281.8814941,0
"agx","Aghul","North-Caucasian","Greater-Mesopotamia",,10.3121356964111,0,0.5,2,28300,1392.864563,0
"ahg","Qimant","Afro-Asiatic","Greater-Abyssinia",,,0.658385097980499,1,7,1650,1208.700289,0
"ahk","Akha","Sino-Tibetan","Southeast-Asia",1.12814152240753,8.42512130737305,,0.16666667163372,6,563960,11410.64945,1
"aia","Arosi","Austronesian","Oceania",1.33074235916138,8.83589744567871,0,0.28571429848671,7,6750,545.1498632,0
